house_number,hhcount,hh_income,latitude,longitude,household_sample_size
775,4,20000,8236886.302486691,687558.7123598354,4
776,4,25000,8228481.364475713,691001.9091043526,4
777,3,6000,8229386.173020747,691281.4509345491,3
778,3,20000,8228732.4335433515,691130.4087416816,3
779,4,25000,8237865.034131111,687577.4586006172,4
780,2,30000,8239729.484539556,687873.9503163053,2
781,5,25000,8225208.95492468,690400.2104787776,5
782,3,28000,8237645.595358436,687188.4518036817,3
783,4,20000,8229755.110514654,691341.6133610046,4
784,3,24000,8236917.02001381,687872.7021764435,3
785,7,5000,8224128.580926908,685651.5148792453,7
786,6,30000,8228588.352876636,691116.347067049,6
787,4,5000,8236730.369142662,688015.7639966743,4
788,5,20000,8228594.130931541,691222.1626104602,5
789,3,20000,8224730.689160693,685765.5586345793,3
790,3,250000,8234755.862491906,689885.7823379397,3
791,4,10000,8224940.802021297,690086.8187216921,4
792,3,30,8236415.654672125,687619.4739605434,3
793,3,25000,8236900.687970845,687945.7627621394,3
794,3,10000,8236857.912753682,687853.9295379128,3
795,3,10000,8234659.299918412,689888.8067664112,3
796,6,10000,8232216.825868247,690429.757079661,6
797,7,5000,8236397.704684194,687594.315562,7
798,3,20000,8229762.011330067,685069.8002856554,3
799,3,20000,8232026.506268621,690420.1610021393,3
800,4,20000,8224146.12223645,685610.3266043833,4
801,2,30000,8228102.688107783,690868.5871106705,2
802,3,10000,8239733.938699591,687798.9540911338,3
803,3,20000,8226573.545023072,684944.8297551199,3
804,3,20000,8225029.672320982,690084.6969693126,3
805,3,10000,8224703.480189709,685592.2946274086,3
806,6,15000,8226478.490249475,685000.7588240033,6
807,4,30000,8228008.912178871,686368.5854424521,4
808,4,3000,8226512.530751267,685043.3437052651,4
809,6,30000,8236720.9481657725,688112.8306264881,6
810,6,200000,8229789.825206051,685057.5320527604,6
811,2,15000,8228574.318784646,690718.1652818621,2
812,3,5000,8236963.644305749,687784.6043653181,3
813,3,10000,8224398.932190552,686162.0033127472,3
814,3,10000,8236866.100109215,687966.6321331346,3
815,3,20000,8224417.679331587,685865.8672565055,3
816,5,25000,8228820.115967807,691372.685272269,5
817,4,10000,8228734.112851526,691157.3455672511,4
818,2,36000,8224057.831413524,688372.5377590925,2
819,3,5000,8236927.72007274,687635.0464191944,3
820,7,5000,8225174.741618745,690490.2840027676,7
821,6,30000,8236810.729683442,687679.2694848878,6
822,5,20000,8226540.589364586,685001.2767715785,5
823,4,30000,8239726.390353864,687900.8594708622,4
824,4,25000,8228782.600076347,691290.6331375433,4
825,6,10000,8229275.883809408,691086.7872896183,6
826,2,30000,8224927.641823044,690061.7109165594,2
827,6,200000,8228125.405169843,690935.6392685692,6
828,6,3000,8229768.082364004,691388.8414456332,6
829,6,200000,8228161.4269963205,690858.0685722297,6
830,3,10000,8236462.414504165,687515.0279124301,3
831,2,30000,8226578.964636719,684982.3690748726,2
832,8,4000,8228503.894496929,690937.6822145501,8
833,3,10000,8231914.5081333835,690382.8094179566,3
834,5,50000,8239769.866077643,687732.8798794916,5
835,3,28000,8228727.254828089,691065.942816719,3
836,4,10000,8239702.182470391,687823.6985080901,4
837,4,20000,8227953.3911412805,690589.0915695946,4
838,8,4000,8239705.527030213,687766.9704649003,8
839,4,30000,8226558.61970218,684901.4428989375,4
840,3,40000,8233467.57174758,688281.4728501344,3
841,4,10000,8228597.121561942,691207.7657431255,4
842,5,4000,8229332.362164317,691205.0260370296,5
843,4,30000,8239710.452157904,687749.6963971822,4
844,3,24000,8239741.76400615,687777.8564847466,3
845,5,20000,8229806.293044343,685030.7463969355,5
846,3,28000,8228047.222446888,690915.7372506009,3
847,3,5000,8224947.414810844,688333.1811596513,3
848,4,50000,8224667.763813354,685636.2156500622,4
849,3,10000,8227960.700453911,690883.3382904379,3
850,6,10000,8228562.187249875,690937.2218981918,6
851,3,30,8234795.241650557,689975.5622655768,3
852,4,30000,8231824.198195029,690608.2953555107,4
853,2,30000,8228123.737186905,690796.2095237421,2
854,3,5000,8239743.64357703,687781.7201520737,3
855,4,80000,8228006.118491154,686359.9088776472,4
856,4,50000,8224894.995857828,690080.6577519304,4
857,7,5000,8239775.424040597,687754.0899178649,7
858,4,20000,8229475.112587115,691520.8541731603,4
859,3,20000,8239758.738860413,687919.4088094714,3
860,2,15000,8236968.9963078685,687500.7344670567,2
861,4,80000,8224724.484973654,689812.1189285358,4
862,4,1000,8229312.396288913,691174.6013029858,4
863,2,30000,8239736.359558925,687738.3703356145,2
864,4,30000,8224143.921687657,685644.9144593276,4
865,4,1000,8228111.420402837,690895.1366219181,4
866,6,200000,8236938.951163553,687436.0382531639,6
867,4,30000,8233495.949524149,688316.3340786683,4
868,6,20000,8229812.9181691045,691397.8816071375,6
869,4,15000,8231991.387265431,690445.0127590296,4
870,5,10000,8228728.395903435,690947.2721904701,5
871,3,20000,8228167.412644284,690939.846469932,3
872,4,56,8232074.123634711,690465.0788989208,4
873,4,20000,8224014.493368821,688301.0333824113,4
874,4,20000,8227988.582360052,690863.3869501695,4
875,6,10000,8231783.403012859,690573.3267774804,6
876,3,20000,8223717.951265516,686283.0173548269,3
877,3,6000,8228445.092750629,690886.2171519434,3
878,4,200000,8224754.989239059,689820.070914364,4
879,4,20000,8236442.611247698,687596.6167794461,4
880,4,20000,8239700.3756404,687811.1777386051,4
881,4,46000,8228624.913484249,691198.3899288909,4
882,6,20000,8228518.003529827,690963.7641037428,6
883,7,5000,8236642.073491743,687339.1769027137,7
884,6,3000,8239726.452746714,687779.651819346,6
885,4,20000,8223707.483862061,686278.1229470489,4
886,3,24000,8234852.059509719,688939.8942377045,3
887,3,20000,8227990.881708899,690818.2171748241,3
888,6,15000,8224025.74423231,688326.1226999679,6
889,6,30000,8236901.8400508985,687643.4854685094,6
890,3,20000,8226581.349669261,685040.0722657667,3
891,6,15000,8224616.923799545,685660.7836555266,6
892,3,28000,8223720.25794298,686235.9344864694,3
893,5,28000,8228489.739388078,691138.5744881544,5
894,4,20000,8225610.564556928,687704.9989663536,4
895,6,3000,8229771.318201284,685099.6851153484,6
896,3,5000,8228638.928487397,690761.0264331677,3
897,5,25000,8228724.413164001,691063.0338335434,5
898,4,5000,8231969.431194186,690330.3886195526,4
899,6,15000,8224835.985232531,689733.2830509192,6
900,4,200000,8239736.838851929,687795.1305736591,4
901,3,20000,8236749.5578633165,688120.7665334393,3
902,3,6000,8228157.255501815,690704.8493507175,3
903,4,15000,8232012.765389013,690462.3560789136,4
904,2,15000,8224044.171318635,688406.0669393146,2
905,3,35000,8228496.936336032,691190.557606915,3
