house_number,hhcount,hh_income,latitude,longitude,household_sample_size
1443,2,40000,8261937.741748008,715942.8100731455,2
1444,6,45000,8265880.905750529,714122.4236626101,6
1445,4,45000,8266730.356090192,715132.4036520489,4
1446,4,80000,8265830.708867293,715007.8245569248,4
1447,4,70000,8265216.507928144,714734.9204019122,4
1448,6,120000,8264176.515575968,714307.41282968,6
1449,4,80000,8265342.625156118,712834.3260906998,4
1450,2,28000,8263565.2252711095,714985.7061173792,2
1451,2,5000,8262549.36853187,715401.8521612247,2
1452,6,70000,8263423.350440893,715012.141095107,6
1453,6,150000,8265360.978587649,712152.4379368052,6
1454,2,40000,8262275.875812045,714774.7590180665,2
1455,4,45000,8264535.283047305,713011.8706450916,4
1456,2,45000,8264520.360231696,713157.3157927946,2
1457,6,60000,8265131.801021392,712295.1686515061,6
1458,7,20000,8262916.192211519,714758.8490552682,7
1459,7,40000,8262527.604123437,715200.7985568633,7
1460,3,200000,8264468.852436464,715563.5440757924,3
1461,5,30000,8261440.7906628605,715492.571737255,5
1462,4,40000,8263803.3737358,713579.3090159653,4
1463,3,30000,8261079.174941115,715606.4449178549,3
1464,2,10000,8261446.412126304,715425.7767248543,2
1465,4,20000,8262014.198402779,715190.775678241,4
1466,4,15000,8265148.2346525155,715006.6587298361,4
1467,4,15000,8266596.874163755,715307.7156867969,4
1468,4,30000,8264337.588480428,715250.4378196315,4
1469,4,30000,8265818.5746073695,713809.6636404519,4
1470,6,50000,8264603.782158786,714587.3911052913,6
1471,4,30000,8265176.507165375,714915.7711966537,4
1472,3,200000,8261466.984487621,716155.9890789235,3
1473,6,100000,8261267.821934136,716054.4632104605,6
1474,2,30000,8261991.412325627,715244.8300300502,2
1475,5,80000,8261454.175926198,715613.6975743319,5
1476,2,150000,8265083.732505777,712409.8586004144,2
1477,2,50000,8265177.789997419,714886.9577914884,2
1478,4,30000,8265543.286415516,714098.0733782165,4
1479,4,50000,8266008.527805861,714063.7710526099,4
1480,7,70000,8263276.468753293,714790.6236831958,7
1481,8,80000,8262225.484874776,716302.1345920947,8
1482,3,270000,8264128.317971335,714319.5407812704,3
1483,5,30000,8265605.746531038,712741.4107836431,5
1484,2,35000,8264874.684464756,713115.3359926475,2
1485,4,15000,8264567.613518747,714914.5544662506,4
1486,5,80000,8263300.010899145,714612.1394286662,5
1487,4,5000,8263387.168285917,714687.0775148331,4
1488,3,30000,8262480.894079618,715211.1262826816,3
1489,4,30000,8264156.311012162,713947.0748156841,4
1490,3,70000,8265004.781706093,715128.3544548857,3
1491,3,20000,8265066.432931945,713595.0550582787,3
1492,4,30000,8265055.615339341,712889.4992562502,4
1493,7,70000,8261647.223406913,715427.2212422879,7
1494,5,30000,8266041.704626203,715413.577409216,5
1495,8,150000,8262245.942112097,715688.3082001198,8
1496,3,10000,8265558.358689222,714928.3522084,3
1497,6,100000,8262803.222803659,715379.1935131147,6
1498,4,45000,8261576.969034884,715834.3716992913,4
1499,5,30000,8260859.952483748,714992.7114935947,5
1500,8,50000,8265457.991517191,714447.9128352661,8
1501,7,150000,8264442.44472174,715146.1635657059,7
1502,7,50000,8262587.281743203,713478.7490011496,7
1503,6,120000,8265303.378287701,713681.9220813927,6
1504,4,40000,8262663.508717507,716439.2951684126,4
1505,4,30000,8265149.5735702505,714909.3133636871,4
1506,2,40000,8265251.581059571,714937.4012234225,2
1507,7,50000,8264068.450351234,714159.6041052381,7
1508,4,30000,8262286.771444848,714795.0842919989,4
1509,2,5000,8264252.455284236,714076.5193509022,2
1510,2,28000,8260820.023258635,714951.1532900222,2
1511,4,70000,8265176.191690774,712748.2998647217,4
1512,5,30000,8263725.775207229,714880.9924485426,5
1513,4,50000,8263768.335132557,714367.3495320068,4
1514,4,53000,8264228.994523831,713969.7506409353,4
1515,8,50000,8265516.979662054,713284.3020977452,8
1516,3,15000,8262002.660998089,715970.0940664178,3
1517,2,35000,8265012.696522748,715507.4420165762,2
